rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited
9980,801–1000,Yokohama City University,32.7–36.9,9980,28.4,785,11.3,1498,59.4,795,62.4,608,29.0,1544,Japan,"5,144",6.0,3%,55 : 45,8%,Yokohama City University,"Mathematics & Statistics,Business & Management,Biological Sciences,Economics & Econometrics,Accounting & Finance,Medicine & Dentistry,Chemistry,Politics & International Studies (incl Development Studies),Sociology,Other Health",False,False
9990,801–1000,Zagazig University,32.7–36.9,9990,14.2,1796,9.2,1772,71.4,527,49.8,813,49.0,832,Egypt,"166,653",25.2,2%,52 : 48,23%,Zagazig University,"Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Accounting & Finance,Archaeology,Chemical Engineering,Politics & International Studies (incl Development Studies),Architecture,Biological Sciences,Geography,Medicine & Dentistry,Sport Science,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Computer Science,Veterinary Science,Law,Mechanical & Aerospace Engineering,Chemistry,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Sociology,Other Health,Mathematics & Statistics,Education,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
10000,801–1000,University of Zaragoza,32.7–36.9,10000,28.3,794,18.5,894,46.4,1087,55.7,718,42.8,1029,Spain,"28,491",10.2,7%,54 : 46,30%,University of Zaragoza,"History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Medicine & Dentistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Computer Science,Civil Engineering,Communication & Media Studies,Other Health,Chemical Engineering,Geography,Physics & Astronomy,Sociology,General Engineering,Agriculture & Forestry,Psychology,Languages, Literature & Linguistics,Biological Sciences,Law,Art, Performing Arts & Design,Sport Science,Education,Architecture,Chemistry,Accounting & Finance",False,False
10010,801–1000,ZHAW Zurich University of Applied Sciences,32.7–36.9,10010,22.2,1221,15.8,1066,46.0,1100,59.2,661,72.4,374,Switzerland,"11,120",12.3,11%,52 : 48,n/a,ZHAW Zurich University of Applied Sciences,"Sociology,Other Health,Economics & Econometrics,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Architecture,Electrical & Electronic Engineering,Psychology,Law,Business & Management,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Agriculture & Forestry,Biological Sciences,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Civil Engineering",False,False
10020,801–1000,Zhejiang Gongshang University,32.7–36.9,10020,21.8,1250,12.6,1356,61.1,755,30.8,1166,44.1,990,China,"17,459",11.5,7%,58 : 42,36%,Zhejiang Gongshang University,"Geology, Environmental, Earth & Marine Sciences,Chemistry,Architecture,Sociology,History, Philosophy & Theology,Psychology,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Computer Science,Accounting & Finance,Languages, Literature & Linguistics,Law,Mathematics & Statistics,General Engineering,Economics & Econometrics",False,False
10030,1001–1200,University of A Coruña,28.3–32.6,10030,24.2,1065,17.5,940,45.6,1107,36.1,1069,36.5,1258,Spain,"15,359",12.4,5%,51 : 49,30%,University of A Coruña,"General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,Business & Management,Civil Engineering,Sociology,Law,Other Health,Physics & Astronomy,Mechanical & Aerospace Engineering,Accounting & Finance,Architecture,Psychology,Politics & International Studies (incl Development Studies),Chemistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Agriculture & Forestry,Sport Science,Languages, Literature & Linguistics,Education,Mathematics & Statistics",False,False
10040,1001–1200,"Adam Mickiewicz University, Poznań",28.3–32.6,10040,19.7,1397,28.4,506,43.5,1155,29.6,1194,37.8,1205,Poland,"33,268",25.0,6%,68 : 32,28%,"Adam Mickiewicz University, Poznań","History, Philosophy & Theology,Law,Chemistry,Sociology,Psychology,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Communication & Media Studies,Mathematics & Statistics,Art, Performing Arts & Design,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Education",False,False
10050,1001–1200,AGH University of Krakow,28.3–32.6,10050,25.8,950,20.9,773,38.6,1249,68.5,465,29.9,1497,Poland,"19,189",12.2,3%,35 : 65,49%,AGH University of Krakow,"Mechanical & Aerospace Engineering,Chemical Engineering,Business & Management,Mathematics & Statistics,Computer Science,Physics & Astronomy,General Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Civil Engineering",False,False
10060,1001–1200,Aichi Medical University,28.3–32.6,10060,30.5,665,13.5,1247,43.1,1166,39.5,993,21.5,1822,Japan,"1,315",2.9,1%,58 : 42,3%,Aichi Medical University,"Medicine & Dentistry,Other Health",False,False
10070,1001–1200,Ain Shams University,28.3–32.6,10070,27.9,809,15.3,1091,45.8,1103,48.0,844,51.8,746,Egypt,"152,995",13.3,6%,52 : 48,23%,Ain Shams University,"Architecture,Agriculture & Forestry,Psychology,Medicine & Dentistry,Chemical Engineering,Geography,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,Veterinary Science,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Biological Sciences,Law,History, Philosophy & Theology,General Engineering,Politics & International Studies (incl Development Studies),Other Health,Physics & Astronomy,Business & Management,Computer Science,Sociology,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Education",False,False
10080,1001–1200,Akdeniz University,28.3–32.6,10080,22.7,1171,27.3,530,42.6,1174,54.7,731,25.2,1696,Turkey,"46,464",47.3,4%,45 : 55,21%,Akdeniz University,"History, Philosophy & Theology,Biological Sciences,Education,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Communication & Media Studies,Mechanical & Aerospace Engineering,Sociology,Architecture,Civil Engineering,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Sport Science,Geography,General Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Archaeology,Agriculture & Forestry,Law",False,False
10090,1001–1200,Al-Balqa Applied University,28.3–32.6,10090,12.0,1876,13.6,1236,59.2,802,22.5,1417,39.3,1140,Jordan,"27,973",27.3,2%,59 : 41,36%,Al-Balqa Applied University,"Accounting & Finance,Medicine & Dentistry,Business & Management,Law,Chemical Engineering,Physics & Astronomy,Biological Sciences,Chemistry,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Computer Science,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Sociology,Other Health,Civil Engineering,Agriculture & Forestry,Architecture,Economics & Econometrics",False,False
10100,1001–1200,University of Alicante,28.3–32.6,10100,25.0,1003,19.8,823,43.8,1145,51.6,781,44.6,971,Spain,"22,767",14.5,10%,59 : 41,30%,University of Alicante,"General Engineering,Mathematics & Statistics,Geography,Communication & Media Studies,Physics & Astronomy,Computer Science,Civil Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Chemistry,Archaeology,Architecture,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sport Science,Languages, Literature & Linguistics,Sociology,Biological Sciences,Economics & Econometrics,Education,Chemical Engineering,History, Philosophy & Theology",False,False
10110,1001–1200,University of Almería,28.3–32.6,10110,21.7,1251,18.9,867,48.9,1043,33.7,1117,42.2,1045,Spain,"12,902",17.0,10%,55 : 45,30%,University of Almería,"General Engineering,Psychology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Business & Management,Sociology,Education,Sport Science,History, Philosophy & Theology,Law,Other Health,Mathematics & Statistics,Computer Science,Accounting & Finance,Communication & Media Studies,Chemistry,Agriculture & Forestry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Biological Sciences,Chemical Engineering,Economics & Econometrics",False,False
10120,1001–1200,An-Najah National University,28.3–32.6,10120,13.3,1830,9.8,1666,65.4,668,21.0,1479,61.2,556,Palestine,"24,835",21.7,11%,66 : 34,27%,An-Najah National University,"History, Philosophy & Theology,Veterinary Science,Other Health,Economics & Econometrics,Sociology,Sport Science,Archaeology,Geography,Business & Management,Mechanical & Aerospace Engineering,Medicine & Dentistry,Psychology,Mathematics & Statistics,General Engineering,Physics & Astronomy,Agriculture & Forestry,Architecture,Law,Electrical & Electronic Engineering,Education,Politics & International Studies (incl Development Studies),Accounting & Finance,Biological Sciences,Communication & Media Studies,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Art, Performing Arts & Design,Languages, Literature & Linguistics,Civil Engineering",False,False
10130,1001–1200,University of Applied Sciences and Arts of Western Switzerland,28.3–32.6,10130,24.0,1078,13.1,1290,38.3,1253,33.8,1114,87.4,160,Switzerland,"17,933",6.5,29%,54 : 46,31%,University of Applied Sciences and Arts of Western Switzerland,"Other Health,Business & Management,Accounting & Finance,Computer Science,Agriculture & Forestry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Biological Sciences,Civil Engineering,Architecture,Sociology,General Engineering,Mechanical & Aerospace Engineering",False,False
10140,1001–1200,Ateneo de Manila University,28.3–32.6,10140,30.8,647,10.8,1545,52.4,954,27.6,1249,33.5,1374,Philippines,"14,168",11.1,1%,52 : 48,27%,Ateneo de Manila University,"Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Other Health,Business & Management,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Computer Science,Law,Psychology,Physics & Astronomy,History, Philosophy & Theology,Communication & Media Studies,Electrical & Electronic Engineering,Biological Sciences,Sociology,Accounting & Finance,Art, Performing Arts & Design",False,False
10150,1001–1200,Universidad Autónoma de Chile,28.3–32.6,10150,12.5,1860,12.2,1386,54.5,897,16.1,1848,55.4,669,Chile,"30,336",25.5,1%,65 : 35,23%,Universidad Autónoma de Chile,"Civil Engineering,Business & Management,Law,Education,Other Health,Computer Science,Medicine & Dentistry,Architecture,Chemical Engineering,Psychology,Communication & Media Studies",False,False
10160,1001–1200,Azarbaijan Shahid Madani University,28.3–32.6,10160,14.9,1758,15.3,1093,67.9,605,19.0,1588,27.9,1579,Iran,"7,477",27.1,2%,61 : 39,39%,Azarbaijan Shahid Madani University,"Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Mathematics & Statistics,Biological Sciences,Chemical Engineering,Computer Science,Civil Engineering,Agriculture & Forestry,Psychology,Mechanical & Aerospace Engineering,Education,Law,Chemistry,General Engineering,Sport Science,Languages, Literature & Linguistics",False,False
10170,1001–1200,Babeş-Bolyai University,28.3–32.6,10170,23.3,1128,16.8,982,46.0,1096,35.2,1089,39.0,1150,Romania,"43,018",21.1,4%,64 : 36,29%,Babeş-Bolyai University,"Biological Sciences,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Psychology,Sport Science,Accounting & Finance,Archaeology,Electrical & Electronic Engineering,Computer Science,Physics & Astronomy,Law,Sociology,Education,Chemistry,Communication & Media Studies,Geography,Business & Management,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Other Health,Economics & Econometrics,History, Philosophy & Theology",False,False
10180,1001–1200,Bahauddin Zakariya University,28.3–32.6,10180,19.6,1409,12.6,1347,58.5,813,19.2,1572,48.1,866,Pakistan,"26,994",27.2,0%,40 : 60,28%,Bahauddin Zakariya University,"Architecture,Law,Communication & Media Studies,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Sociology,Computer Science,History, Philosophy & Theology,Other Health,Art, Performing Arts & Design,Veterinary Science,Physics & Astronomy,Chemistry,Civil Engineering,Geography,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Agriculture & Forestry,Biological Sciences,Economics & Econometrics,Education,Business & Management,Sport Science,Accounting & Finance",False,False
10190,1001–1200,Bangladesh Agricultural University (BAU),28.3–32.6,10190,29.5,720,9.9,1645,45.2,1114,22.6,1415,49.5,818,Bangladesh,"6,810",11.4,1%,45 : 55,21%,Bangladesh Agricultural University (BAU),"Medicine & Dentistry,Accounting & Finance,Agriculture & Forestry,Veterinary Science,Mathematics & Statistics,Other Health,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Sociology,Biological Sciences,General Engineering,Business & Management",False,False
10200,1001–1200,Bangladesh University of Engineering and Technology,28.3–32.6,10200,21.7,1252,15.8,1060,50.7,1003,35.2,1090,29.8,1499,Bangladesh,"6,237",13.2,0%,22 : 78,44%,Bangladesh University of Engineering and Technology buet BUET,"Chemical Engineering,Civil Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Chemistry,Computer Science,Architecture",False,False
10210,1001–1200,Bartin University,28.3–32.6,10210,11.1,1895,13.0,1299,69.6,564,16.3,1824,37.4,1223,Turkey,"11,828",31.8,11%,39 : 61,28%,Bartin University,"Computer Science,Chemistry,Education,Mechanical & Aerospace Engineering,Sport Science,Psychology,Electrical & Electronic Engineering,Physics & Astronomy,Business & Management,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,General Engineering,Biological Sciences,Archaeology,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Sociology,Architecture,Chemical Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies)",False,False
10220,1001–1200,University of Bedfordshire,28.3–32.6,10220,17.5,1593,14.3,1175,52.4,955,25.6,1310,83.9,202,United Kingdom,"13,545",29.1,64%,59 : 41,24%,University of Bedfordshire,"Civil Engineering,Business & Management,Art, Performing Arts & Design,Sport Science,Education,Chemistry,Economics & Econometrics,Computer Science,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Agriculture & Forestry,Accounting & Finance,Other Health,Sociology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Law,General Engineering,Psychology",False,False
10230,1001–1200,Benha University,28.3–32.6,10230,15.7,1717,9.2,1756,66.5,636,18.9,1597,49.1,827,Egypt,"110,873",30.9,2%,42 : 58,26%,Benha University,"Medicine & Dentistry,Veterinary Science,Chemistry,Languages, Literature & Linguistics,Chemical Engineering,Law,Electrical & Electronic Engineering,Agriculture & Forestry,Geography,Archaeology,Mechanical & Aerospace Engineering,Accounting & Finance,Architecture,Biological Sciences,Education,General Engineering,Sociology,Other Health,Sport Science,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Business & Management",False,False
10240,1001–1200,Beni-Suef University,28.3–32.6,10240,16.8,1638,9.8,1667,61.1,751,19.5,1558,51.4,759,Egypt,"85,158",31.6,0%,49 : 51,23%,Beni-Suef University,"Business & Management,Agriculture & Forestry,Languages, Literature & Linguistics,Chemistry,Chemical Engineering,Psychology,Communication & Media Studies,History, Philosophy & Theology,Law,Physics & Astronomy,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Computer Science,Civil Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Medicine & Dentistry,Economics & Econometrics,Accounting & Finance,Geography,Other Health,Sport Science,Archaeology,Sociology,Education,Veterinary Science,Biological Sciences,Architecture",False,False
10250,1001–1200,Bowling Green State University,28.3–32.6,10250,22.4,1192,13.9,1209,52.7,950,40.5,969,28.9,1545,United States,"15,159",17.6,3%,57 : 43,25%,Bowling Green State University,"Electrical & Electronic Engineering,Architecture,General Engineering,Chemistry,Psychology,Business & Management,Sociology,Mathematics & Statistics,Mechanical & Aerospace Engineering,Economics & Econometrics,Geography,History, Philosophy & Theology,Communication & Media Studies,Civil Engineering,Education,Accounting & Finance,Physics & Astronomy,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,Law,Other Health,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Sport Science",False,False
10260,1001–1200,Brno University of Technology,28.3–32.6,10260,22.2,1208,19.3,847,39.0,1240,70.3,424,58.3,619,Czech Republic,"18,137",15.5,25%,28 : 72,45%,Brno University of Technology,"Mechanical & Aerospace Engineering,Economics & Econometrics,Architecture,General Engineering,Accounting & Finance,Business & Management,Computer Science,Chemical Engineering,Art, Performing Arts & Design,Sport Science,Civil Engineering,Electrical & Electronic Engineering,Chemistry",False,False
10270,1001–1200,University of Bucharest,28.3–32.6,10270,24.8,1016,21.1,764,43.2,1161,25.3,1327,29.1,1536,Romania,"32,362",33.3,2%,70 : 30,33%,University of Bucharest,"Mathematics & Statistics,History, Philosophy & Theology,Business & Management,Politics & International Studies (incl Development Studies),Computer Science,Geography,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Sociology,Physics & Astronomy,Chemistry,Economics & Econometrics,Education,General Engineering,Law,Biological Sciences,Psychology",False,False
10280,1001–1200,University of Cadiz,28.3–32.6,10280,20.4,1342,16.7,990,43.7,1148,30.0,1182,42.3,1041,Spain,"19,416",17.7,8%,55 : 45,28%,University of Cadiz,"Electrical & Electronic Engineering,Chemical Engineering,Other Health,Communication & Media Studies,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Psychology,Archaeology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Civil Engineering,Law,Medicine & Dentistry,Chemistry,Accounting & Finance,General Engineering,Biological Sciences,Economics & Econometrics,Computer Science,Sport Science,Mathematics & Statistics,Education,Business & Management",False,False
10290,1001–1200,University of Calcutta,28.3–32.6,10290,40.0,307,15.2,1104,33.7,1359,30.3,1175,19.3,1883,India,"17,879",14.2,0%,54 : 46,37%,University of Calcutta,"Archaeology,Law,Art, Performing Arts & Design,Physics & Astronomy,Accounting & Finance,Chemistry,Business & Management,Biological Sciences,Education,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Sport Science,Computer Science,Sociology,Agriculture & Forestry,Psychology,Chemical Engineering,Geography",False,False
10300,1001–1200,Canterbury Christ Church University,28.3–32.6,10300,20.7,1319,13.8,1222,44.6,1132,18.0,1665,59.6,593,United Kingdom,"11,155",20.1,15%,68 : 32,11%,Canterbury Christ Church University,"Art, Performing Arts & Design,Chemical Engineering,Education,Economics & Econometrics,Accounting & Finance,Veterinary Science,History, Philosophy & Theology,Biological Sciences,General Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geography,Mechanical & Aerospace Engineering,Computer Science,Medicine & Dentistry,Law,Languages, Literature & Linguistics,Communication & Media Studies,Archaeology,Psychology,Business & Management,Sport Science,Other Health,Sociology",False,False
10310,1001–1200,University of Central Lancashire,28.3–32.6,10310,18.3,1525,13.8,1223,51.9,966,34.3,1106,82.3,219,United Kingdom,"21,525",16.3,28%,58 : 42,18%,University of Central Lancashire,"Biological Sciences,General Engineering,Chemistry,Chemical Engineering,Veterinary Science,Other Health,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies),Accounting & Finance,Sport Science,Architecture,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Sociology,Languages, Literature & Linguistics,Communication & Media Studies,Education,Geography,Economics & Econometrics,Physics & Astronomy,Psychology,Civil Engineering,Art, Performing Arts & Design,Computer Science,Electrical & Electronic Engineering,Business & Management,Archaeology,Medicine & Dentistry,Mechanical & Aerospace Engineering",False,False
10320,1001–1200,Central Michigan University,28.3–32.6,10320,28.8,753,15.3,1094,46.8,1081,44.9,895,33.4,1376,United States,"13,780",18.3,3%,60 : 40,21%,Central Michigan University,"Mechanical & Aerospace Engineering,Sociology,Economics & Econometrics,Computer Science,Sport Science,Politics & International Studies (incl Development Studies),Communication & Media Studies,General Engineering,Medicine & Dentistry,Other Health,Chemical Engineering,Psychology,Art, Performing Arts & Design,Mathematics & Statistics,Law,Geography,Education,Chemistry,Physics & Astronomy,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Biological Sciences,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Agriculture & Forestry",False,False
10330,1001–1200,"University of Chemistry and Technology, Prague",28.3–32.6,10330,32.8,552,14.7,1146,29.0,1471,45.7,883,51.0,772,Czech Republic,"4,061",8.3,23%,57 : 43,36%,"University of Chemistry and Technology, Prague","Chemistry,Business & Management,Education,Mathematics & Statistics,Mechanical & Aerospace Engineering,Biological Sciences,Chemical Engineering,Economics & Econometrics,Accounting & Finance,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
10340,1001–1200,China Pharmaceutical University,28.3–32.6,10340,23.4,1120,18.3,901,52.8,949,73.4,357,22.2,1802,China,"18,448",16.4,3%,65 : 35,14%,China Pharmaceutical University,"General Engineering,Business & Management,Computer Science,Languages, Literature & Linguistics,Physics & Astronomy,Mathematics & Statistics,Psychology,Economics & Econometrics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Sociology,Biological Sciences,Chemistry,Other Health",False,False
10350,1001–1200,Chung Yuan Christian University,28.3–32.6,10350,18.1,1540,24.4,633,39.0,1241,62.6,602,41.2,1075,Taiwan,"15,939",33.5,7%,46 : 54,36%,Chung Yuan Christian University,"Economics & Econometrics,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Architecture,Psychology,Chemistry,Business & Management,Art, Performing Arts & Design,General Engineering,Accounting & Finance,Biological Sciences,Electrical & Electronic Engineering,Law,Computer Science,Education,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
10360,1001–1200,University of Colombo,28.3–32.6,10360,25.4,975,10.6,1570,60.2,769,18.7,1609,39.3,1141,Sri Lanka,"34,058",32.0,0%,60 : 40,18%,University of Colombo,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Agriculture & Forestry,Law,Mathematics & Statistics,Computer Science,Sport Science,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Psychology,General Engineering,Sociology,Chemistry,Geography,Medicine & Dentistry,Biological Sciences,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Accounting & Finance",False,False
10370,1001–1200,Comenius University in Bratislava,28.3–32.6,10370,31.2,630,16.6,998,41.8,1186,25.0,1336,52.6,724,Slovakia,"21,812",10.5,15%,65 : 35,24%,Comenius University in Bratislava,"Archaeology,Politics & International Studies (incl Development Studies),Psychology,History, Philosophy & Theology,Physics & Astronomy,Other Health,Sociology,Mathematics & Statistics,Biological Sciences,Law,Medicine & Dentistry,Geography,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Communication & Media Studies,Languages, Literature & Linguistics,Sport Science,Chemistry",False,False
10380,1001–1200,Czech Technical University in Prague,28.3–32.6,10380,30.9,643,18.8,874,32.2,1398,51.9,774,60.2,580,Czech Republic,"15,663",8.7,21%,30 : 70,48%,Czech Technical University in Prague,"Chemical Engineering,Other Health,Economics & Econometrics,Computer Science,Mathematics & Statistics,Civil Engineering,Business & Management,Chemistry,Physics & Astronomy,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Accounting & Finance",False,False
10390,1001–1200,Democritus University of Thrace,28.3–32.6,10390,16.1,1693,16.5,1007,54.3,905,32.1,1140,30.4,1484,Greece,"22,266",36.4,3%,48 : 52,27%,Democritus University of Thrace,"History, Philosophy & Theology,Law,Politics & International Studies (incl Development Studies),General Engineering,Electrical & Electronic Engineering,Civil Engineering,Medicine & Dentistry,Education,Languages, Literature & Linguistics,Economics & Econometrics,Sport Science,Biological Sciences,Agriculture & Forestry",False,False
10400,1001–1200,Universidad del Desarrollo,28.3–32.6,10400,17.8,1565,10.8,1547,53.0,943,21.2,1472,52.2,736,Chile,"16,638",14.4,4%,57 : 43,8%,Universidad del Desarrollo Universidad del Desarrollo UDD Desarrollo University,"Civil Engineering,Psychology,Communication & Media Studies,Architecture,General Engineering,Education,Other Health,Business & Management,Medicine & Dentistry,Computer Science,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Law,Geology, Environmental, Earth & Marine Sciences",False,False
10410,1001–1200,Diego Portales University,28.3–32.6,10410,15.3,1738,11.8,1424,53.8,923,18.0,1666,53.0,712,Chile,"18,126",17.6,2%,50 : 50,27%,Diego Portales University,"General Engineering,Computer Science,Architecture,Politics & International Studies (incl Development Studies),Other Health,Psychology,History, Philosophy & Theology,Sociology,Medicine & Dentistry,Education,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Languages, Literature & Linguistics,Law,Communication & Media Studies,Business & Management,Physics & Astronomy,Accounting & Finance",False,False
10420,1001–1200,Université Djillali Liabès de Sidi Bel-Abbès,28.3–32.6,10420,30.6,658,9.3,1744,46.0,1097,16.9,1762,37.4,1224,Algeria,"27,917",19.7,1%,56 : 44,40%,Université Djillali Liabès de Sidi Bel-Abbès,"Biological Sciences,Chemistry,Business & Management,General Engineering,Other Health,History, Philosophy & Theology,Agriculture & Forestry,Medicine & Dentistry,Languages, Literature & Linguistics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Civil Engineering,Sociology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False
10430,1001–1200,Don State Technical University,28.3–32.6,10430,20.6,1328,9.0,1794,54.9,892,17.9,1675,31.7,1438,Russian Federation,"26,030",12.4,12%,,39%,Don State Technical University,"Languages, Literature & Linguistics,Art, Performing Arts & Design,Agriculture & Forestry,Communication & Media Studies,Biological Sciences,Education,History, Philosophy & Theology,Sport Science,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,Architecture,Veterinary Science,Business & Management,General Engineering,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Accounting & Finance,Chemical Engineering,Law",False,False
10440,1001–1200,Dr B.R. Ambedkar National Institute of Technology Jalandhar,28.3–32.6,10440,25.4,976,13.2,1285,54.6,895,22.2,1434,17.8,1901,India,"5,462",24.1,1%,36 : 64,46%,Dr B.R. Ambedkar National Institute of Technology Jalandhar,"Economics & Econometrics,Computer Science,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Civil Engineering,Chemistry,Chemical Engineering,Business & Management,Languages, Literature & Linguistics",False,False
